country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Eritrea,,156,130,116,126,102,76.5,69.2,62.6,52.3,50.5,41.5,38.1,37.6,27,23.7,21.3
Spain,16.8,17,16.5,16.2,15.1,14.9,15,15.1,4.7,5,5,4.5,4.4,4.3,4.1,4,3.9
Estonia,8,7.5,6.2,5.1,2,1.7,1.7,1.9,1.8,1.6,1.5,1.4,1.3,1.2,1.2,1.1,1
Ethiopia,487,80.7,67.6,47.8,43,31.1,268,200,189,142,105,93.7,79.1,69.3,57.8,52.7,45.4
Finland,1.1,1.2,1.2,1.1,1,1,0.9,1,1,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.7
Fiji,30.2,28.9,28.4,25.8,25.3,25.2,25.3,23.8,25.1,24,23.1,22.5,21.3,17.9,16.9,15.9,14.5
France,1.4,1.1,1.2,1.1,1.1,1,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.7,0.7,0.7,0.7
"Micronesia, Fed. Sts.",26.5,134,128,136,137,138,136,138,139,140,141,141,141,140,142,142,141
Gabon,,,27.8,24.2,25.6,20.3,17.8,21.9,17.3,14.5,12.5,12.9,15.1,14.3,7.2,6.1,13.3
United Kingdom,1,0.9,0.7,0.7,0.8,0.8,0.7,0.7,0.7,0.7,0.3,0.3,0.1,0.1,0,0,0
Georgia,22.7,13.7,13.7,10.9,9.5,4,3.7,5,4.7,4.1,3.8,3.7,3.4,2.6,2.5,2.2,2.1
Ghana,80.5,62,55.8,47.2,38.9,30.6,24.8,30,26.4,26.7,23.3,19.2,19.4,19.7,17.5,15.5,12.3
Guinea,232,208,179,181,138,136,139,148,118,95.3,83,77.7,74.1,72.8,62.6,38.2,33.8
Gambia,,,317,292,279,255,215,200,206,159,174,131,142,125,128,121,49.5
Guinea-Bissau,,,506,472,462,466,184,183,102,86.4,93.1,103,118,106,99.9,91,88.8
Equatorial Guinea,,,98.6,98.6,101,99.3,98.4,101,99.1,98.2,98.6,99,99.4,103,103,101,59.1
Greece,32.7,32.5,22,21.7,21.1,22.5,20.2,20.7,20.1,20.5,12.1,2.2,2.3,2.3,1.6,1.6,1.5
Grenada,,,38.7,37.3,31.7,30.2,24.6,25.2,25.1,19.1,19.7,18.4,17.3,15.8,15.3,14,14.4
Guatemala,65.6,62.8,58.4,52.1,49.9,53.4,47.8,49.1,52.5,48.1,46.4,26,25.1,24.1,22.9,18.1,17.3
Guyana,,106,96.5,95.5,83.1,65,16.9,17,13.3,13.9,12.4,11.5,10.9,10.7,9.8,9.4,9.4
"Hong Kong, China",2.4,3.4,3.4,3.3,3.1,2,1.8,2,1.9,1.9,0.8,1.4,1.2,0.6,1.1,1.1,0.5
Honduras,71.5,66.8,64.1,59,58,50.9,45.6,46.2,45.9,44.8,44.4,43.7,40.4,39.5,39.7,39.1,28.1
Croatia,16.3,13.7,12.7,11.5,10.1,10.1,8.1,8.4,8.4,7.1,9.1,3.6,3.4,7.4,7.2,6.6,6.2
Haiti,415,359,308,252,263,266,204,251,314,287,265,247,235,219,200,200,180
Hungary,40.4,22.9,22.4,20.9,17.7,8.4,8,8.2,7.6,8.9,8.8,8.5,7.5,7.1,5.4,4.9,4.5
Indonesia,,,,,,,,,,,22,21.2,20,19.4,11,6.1,5.7
India,,,,,,,,,,,41.5,16.4,14.5,14,15,14.4,7.2
Ireland,10.4,10.3,5.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1
Iran,6.5,7.3,6.3,5.4,5.3,4.6,3.9,4.2,3.9,3.4,3.3,3.2,2.8,1.2,1.4,1.2,1.1
Iraq,,30.3,30.3,54.8,68.5,127,64.6,92.5,102,70.5,36.7,35.9,37.4,51.9,43.3,38.8,34.2
Iceland,,3,2.8,3,2.7,2.6,3,2.3,3.3,3,2.7,2.4,2.2,2,1.8,1.7,1.9
Israel,5.5,5.5,5.3,5.1,4.4,4.4,4.2,4.3,4.4,4,4.1,3.5,3.4,3.3,3.2,2.8,2.7
Italy,22.1,21.4,20.7,20,18.7,18.5,18,18.7,18.4,16.7,14.7,14.8,14.4,14.3,14.1,14.1,13.8
Jamaica,16.3,15.4,11.8,9.4,8.7,7.9,5.3,5.2,7.2,6.7,6.4,4.9,5,4.3,4.8,4.4,4.2
Jordan,104,102,85.5,73,23.8,32.9,28.2,25.4,21.7,21.5,20.5,19.7,19,20.6,24.2,23.9,23.3
Japan,,,,,,,,,,,7.5,7.5,7.5,7.5,7.5,7.5,7.5
Kazakhstan,12.9,12.1,9.9,7,7.6,5.2,4.8,1,0.8,0.7,0.6,0.5,0.5,0.3,0.3,0.3,0.2
Kenya,54.6,53.7,61.6,58.8,58.1,49.2,52.8,55.2,53.5,47.5,44.5,54.1,43.6,28.2,26.3,24.9,22.4
Kyrgyz Republic,12.5,11.5,10.4,10.7,9.7,7.4,5.2,3.7,3.5,2.8,2.7,2.3,2.1,2.2,2.1,1.9,1.4
Cambodia,535,480,276,237,190,151,137,128,109,77.7,130,120,59.6,55.7,51.3,47.4,53.4
Kiribati,51.6,36.3,40.3,53.8,58.3,63.6,45.7,47.1,46.4,46.6,47.1,44.4,46,36.3,40.2,36.1,34.9
St. Kitts and Nevis,,,26.8,24.4,20.7,11.9,11.3,11.3,11.5,9.1,8.7,8.7,7.9,7.2,7.2,7,6.2
South Korea,18.4,15.7,15.7,18.2,17.1,16.9,14.7,14.7,14.6,14.6,14.6,14.5,14.5,14.6,14.6,14.6,14.6
Kosovo,,,,,,,26.4,28.7,26.7,23,22.1,1.2,1.1,1.1,1,1,1.4
Kuwait,2,2.4,2.2,1.6,1.6,1.3,1,1.3,1.2,1.1,1.2,2,2.3,2.8,1.7,2,1.7
Lao,35.1,31.2,25.6,23.2,21.6,17.5,14.5,13.3,10.9,10.1,12.4,10.6,9.9,9.2,7,6.6,4.6
Lebanon,130,130,109,91.2,94.5,87.8,78.5,75.3,67.3,35.5,35.1,33.6,34.2,40.6,42,40,42.3
Liberia,,,,564,490,100,85.6,88.3,68.4,52.7,19.1,17.4,16.8,16.7,15.7,12.6,6.3
Libya,,,,,,,,,,31.7,19.1,19.9,26.9,31.2,30.3,23,24.6
St. Lucia,,,27.9,25.9,23.7,22.6,21.8,23.8,24.4,17.8,18.6,22.9,22.4,21.4,21.5,18.4,17
Liechtenstein,,,,,,,,,,,,,,,,2.2,2.2
Sri Lanka,59.3,52.8,50,43.7,19.7,47,41.9,33.9,30.1,26.6,26.1,20.7,18.7,12.2,10.4,9.4,8.7
Lesotho,64.2,59.7,41.8,40,37.5,37.9,27,26,24.9,13,11.4,9.4,9.3,8.1,7.7,7.1,6.1
Lithuania,4,3.7,3.3,2.8,3,2.7,2.4,2.8,2.8,1.1,0.9,0.2,0.6,0.6,0.6,0.5,0.5
Luxembourg,,,,11.9,10.8,6.5,1.8,2.1,1.9,1.9,1.9,2,2,1.7,1.7,1.7,1.6
Latvia,10.1,9.3,4.2,3.5,3,2.3,2.1,1.5,2.6,2.3,1.9,4.3,1.8,1.7,1.7,1.7,1.5
Morocco,26.6,13.7,13.4,12.7,13.6,12,10.8,10.3,10,9.6,9.5,9.2,9.1,7.9,8,3.7,3.6
Moldova,24.5,18.6,14.6,13.3,11.5,8.9,7,7.9,6.5,5.7,5.4,4.6,4.3,6.2,5.6,5,4
Madagascar,253,249,175,81.5,71.3,62.6,46.2,54.3,49.4,47.4,47,44.8,43.7,40.4,35.7,33,30.2
Maldives,13,12.3,14,14,13.4,11.5,10,9.4,8.9,6,6.2,6.2,4.9,5.2,4.7,4,4.1
Mexico,,,,,,,,,,,18.6,18.8,18.1,17.8,17,16.2,15.2
Marshall Islands,20.9,20.2,22.4,18.6,17.7,17.4,16.2,17.6,17.7,13.5,12.4,12.8,12.7,12.5,11.9,12.2,12.9
North Macedonia,11,10.6,10.4,6.6,5.9,3.1,1.9,1.9,1.8,1.7,1.8,0.2,0.2,0.1,3.4,3.3,3.1
Mali,204,187,191,202,115,103,86.9,79.7,90.5,86.2,76.7,78.1,71.3,61,58.4,56.8,55.1
Malta,,,,,,,,,12,11.6,15.3,14.6,14.1,12.3,7.4,7.1,6.7
Myanmar,,,,,,,,,,158,149,140,98,41.1,40.1,24.8,13.3
Montenegro,,,,6.9,6.5,4.6,2.8,2.1,2,1.7,1.7,1.8,1.6,1.5,1.5,1.3,1.2
Mongolia,16.1,12.5,9.6,7.9,6.6,4,3,3.2,2.9,2.4,1.5,1.2,1.5,1.5,1.4,1.3,1.2
Mozambique,112,95.8,95,85.7,61.9,66.8,56.8,56.9,48.3,52.8,50.2,46.1,57.8,64.6,92.9,121,107
Mauritania,141,141,144,122,83.9,56.4,58.9,56,48.3,47.6,46.1,20.8,19.4,19.4,19.3,16.2,15.8
Mauritius,,9.6,8.8,8,5.4,5,4.1,3.8,3.6,3.3,3.6,2.1,2,1.8,1,0.9,0.8
Malawi,116,141,140,216,189,126,108,108,90.9,141,120,107,84.6,42.2,44.6,38.6,32.6
Malaysia,33.1,32,26.6,25.1,23.1,18.9,15.6,17.5,16.4,15.1,7.6,7.2,6.7,13.7,12.7,11.6,11.1
Namibia,22.2,19.3,18.8,18,22.3,22.1,20.4,18.5,17.2,18.5,14.7,13.1,11.1,11.5,11.4,10,8.9
Niger,451,445,465,417,175,170,119,119,114,113,80.1,76.7,67.8,32.4,8.3,8.1,7.9
Nigeria,,,,,,,,,,,58.7,33.4,31.2,31.3,29.2,27.6,26.1
Nicaragua,160,156,140,124,114,115,106,112,108,101,77,73.9,72.2,68,65.4,63.6,65.7
Netherlands,13.3,13.2,13,7.2,6,5.9,5.6,5.7,5.5,5.1,5.2,5,4.6,4.5,4.4,4.2,4
Norway,3.5,2.9,2.7,2.5,2.3,2.1,1.9,1.8,1.8,1.7,1.6,0.9,0.9,0.9,0.9,0.9,0.8
Nepal,78,74.1,69.9,78.5,73.9,60.2,53.6,46.6,37.4,33,34.6,32.2,28.4,26.1,27.4,24.4,20.2
New Zealand,0.2,0.2,0.2,0.2,0.1,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.2
Oman,5.1,5.1,5,4.6,4.4,3.8,2.2,3.4,3.2,2.7,2.5,2.5,3.3,4.1,3.2,3.3,3.1
Pakistan,,,,,,,,,,,16.3,14.9,14.3,12.8,7.9,6.8,6.7
Panama,14.9,14.6,14.4,13.9,13,11.5,10.1,10.2,9.8,9.3,7.6,6.9,6.7,6.6,6.5,6.1,5.8
Peru,39.4,36.4,38.5,31,28.2,25.1,16.3,16.7,17.1,15.1,14.4,13.5,9.7,7.4,7.5,7.5,9.4
Philippines,39.1,34,33.2,30.9,32.5,30.4,28.8,29.7,26.1,25.6,24.7,21.3,20.5,19.9,19.7,24,23.3
Palau,9.5,4.3,4.7,5.1,4.7,4.6,4.1,5.7,5.8,5.2,3.8,3.3,3.3,2.9,2.9,2.9,2.2
Papua New Guinea,28.8,28.2,27.7,23.8,24.2,21.7,18.9,27,23.8,20.7,19.9,19.4,17.3,15.6,20.3,20.5,18.6
Poland,21.3,20.8,19.9,19.2,18.9,17.5,16.7,16.3,16,13.2,13.1,12.9,12.2,12.1,12,11.8,11.6
Puerto Rico,2.2,2.2,2.2,1.8,1.7,1.7,1.6,1.6,1.4,1.4,1.4,1.3,1.3,1.3,0.8,1.3,1.2
Portugal,12,13.5,13.4,7.9,6.7,6.5,6.4,6.5,2.3,2.3,2.4,2.3,2.2,2.1,2.1,2,1.9
Paraguay,147,117,112,105,49.8,66.1,62.6,64,60.5,60.6,60.1,57.4,58,58.1,58.2,58.4,52.2
Palestine,,92.9,92.9,122,108,80.9,55.8,94.4,97,92,86.5,87.2,83.3,46.8,45,46.8,40.3
Qatar,,,,,5.7,5.7,4.6,7.1,6.1,4.8,5.1,5.1,5.1,5.8,6.3,6.7,6.3
